WKT,nome,descrizione
"POINT (16.258667 39.2905147)",Palazzo Spadafora,Via San Tommaso 27 - PARTENZA
"POINT (16.258313 39.2899615)",Chiesa San Francesco d'Assisi,Piazza Marco Berardi
"POINT (16.2598708 39.2890338)",Duomo di Cosenza,Piazza Duomo
"POINT (16.2615 39.2878)",Piazza Vittime Civili di Guerra,Centro Storico
"POINT (16.2609955 39.2883894)",Piazzetta Toscano,Area Archeologica
"POINT (16.2611129 39.2885945)",Biblioteca Nazionale,Piazzetta Antonio Toscano
"POINT (16.262 39.2895)",Palazzo Sersale,Piazza XV Marzo angolo Corso Telesio
